,Date,Symbol,Open,High,Low,Close,Volume,Close_Prediction
0,05-01-2000,WIPRO,2942.15,3177.55,2715.0,2990.1,132297,2935.2898
1,06-01-2000,WIPRO,3144.7,3183.0,2790.0,2932.25,72840,3056.9167
2,07-01-2000,WIPRO,2751.0,2751.0,2697.7,2697.7,10110,3033.1462
3,10-01-2000,WIPRO,2697.7,2913.5,2612.0,2701.35,40382,2838.013
4,11-01-2000,WIPRO,2734.0,2789.0,2485.25,2485.45,46178,2748.2993
5,12-01-2000,WIPRO,2590.0,2608.0,2485.0,2562.9,20037,2592.4397
6,13-01-2000,WIPRO,2574.0,2620.0,2460.0,2480.25,19080,2563.2454
7,14-01-2000,WIPRO,2590.0,2590.0,2405.0,2497.85,20412,2534.0923
8,17-01-2000,WIPRO,2580.0,2697.7,2550.0,2697.7,27984,2514.0942
9,18-01-2000,WIPRO,2740.0,2850.0,2600.0,2677.15,32443,2666.109
10,19-01-2000,WIPRO,2725.0,2848.0,2725.0,2784.5,33586,2730.6204
11,20-01-2000,WIPRO,2808.0,2834.95,2775.0,2796.4,21511,2800.958
12,21-01-2000,WIPRO,2825.0,3020.15,2750.0,2989.7,145195,2852.252
13,24-01-2000,WIPRO,3151.0,3228.9,3151.0,3228.9,20562,2998.964
14,25-01-2000,WIPRO,3487.25,3487.25,3487.2,3487.25,34893,3251.745
15,27-01-2000,WIPRO,3766.25,3766.25,3766.25,3766.25,1618,3535.864
16,28-01-2000,WIPRO,4067.55,4067.55,4067.55,4067.55,3007,3839.9673
17,31-01-2000,WIPRO,4067.55,4240.0,3742.15,3805.0,73387,4163.41
18,01-02-2000,WIPRO,3995.0,4109.4,3960.0,4109.4,49750,4082.7495
19,02-02-2000,WIPRO,4438.15,4438.15,4438.15,4438.15,2235,4207.831
20,03-02-2000,WIPRO,4793.2,4793.2,4750.0,4793.2,8597,4551.727
21,04-02-2000,WIPRO,5169.0,5176.7,5005.0,5176.7,57609,4911.7144
22,07-02-2000,WIPRO,5339.0,5494.0,5074.0,5259.15,42768,5285.363
23,08-02-2000,WIPRO,5289.0,5400.0,4839.0,4868.05,37484,5456.8843
24,09-02-2000,WIPRO,5099.0,5257.5,5050.0,5209.5,38282,5223.0703
25,10-02-2000,WIPRO,5200.0,5626.3,5105.0,5626.3,76550,5330.4263
26,11-02-2000,WIPRO,6067.0,6076.4,5700.0,6076.4,62249,5701.569
27,14-02-2000,WIPRO,6250.0,6562.55,6000.0,6562.55,67076,6093.5
28,15-02-2000,WIPRO,6899.0,7087.55,6100.0,7087.55,56752,6488.673
29,16-02-2000,WIPRO,7269.0,7654.55,7260.0,7654.55,24633,6883.2734
30,17-02-2000,WIPRO,8262.85,8266.95,8262.85,8266.95,14273,7273.605
31,18-02-2000,WIPRO,8928.35,8928.35,8928.35,8928.35,9348,7656.248
32,21-02-2000,WIPRO,9625.0,9642.65,8928.35,9587.45,181968,8028.118
33,22-02-2000,WIPRO,10350.0,10350.0,8820.45,8820.45,49915,8366.59
34,23-02-2000,WIPRO,8500.0,8500.0,8114.85,8114.85,9230,8148.548
35,24-02-2000,WIPRO,7471.0,7471.0,7465.7,7465.7,3173,7762.032
36,25-02-2000,WIPRO,6868.5,7100.0,6868.45,6868.45,85069,7361.436
37,28-02-2000,WIPRO,6868.45,7190.0,6319.0,6994.45,154212,6950.204
38,29-02-2000,WIPRO,7090.0,7400.0,6434.9,6616.75,137566,6899.258
39,01-03-2000,WIPRO,7128.0,7146.1,6700.0,7144.4,125683,6723.7515
40,02-03-2000,WIPRO,7499.0,7700.0,7200.0,7495.85,180524,6924.3867
41,03-03-2000,WIPRO,7090.0,7100.0,6896.2,6896.2,42970,7207.5005
